Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland_Footprint_Production,Grazing_Footprint_Production,Forest_Footprint_Production,Fish_Footprint_Production,BuiltUp_Footprint_Production,Carbon_Footprint_Production,Total_Footprint_Production,Cropland_Footprint_Consumption,Grazing_Footprint_Consumption,Forest_Footprint_Consumption,Fish_Footprint_Consumption,Carbon_Footprint_Consumption,Total_Footprint_Consumption,Grazing land,Forest land,Fishing ground,Total_Biocapacity,Overshoot_Day_DOY,Income_Group_Code,Quality_Score_Code
Kyrgyzstan,2A,74.0,71.4,0.696,1094.1160234110562,Middle East/Central Asia,LI,6.3040297851562395,0.424917988006255,0.210791164976903,0.0032156275348025,1.81900380265432e-06,0.0837496266562634,0.599923418717489,1.32259964489552,0.446365358581639,0.175179102941503,0.0456600498367077,0.00451444996295056,0.786083140711846,1.54155172869091,0.543429387167236,0.102162781662331,0.0471164292079071,1.20137621269999,,0.0,2
Lao People's Democratic Republic,3A,63.0,67.61,0.609,1785.5813301256514,Asia-Pacific,LM,7.061509765625019,0.744426558258783,0.0828405714786625,0.448903828681297,0.0141008293316803,0.152221588888012,0.861961635848723,2.30445501248716,0.743437508535126,0.242819774473673,0.362939349387282,0.0164409420245198,0.322027671003662,1.83988683431227,0.11699467057589,0.652271902502841,0.0309699136384695,1.696884633864,312.0,1.0,3
Latvia,3A,79.2,74.7829,0.863,16252.398615921244,EU,HI,1.92845996093749,1.31554579552962,0.15750509750384,4.29584512797944,0.284350258608182,0.0921169922471509,1.40537226363663,7.55073553550487,0.792463096716113,0.146518151836528,3.19164857956522,0.25642785040817,1.92599917232361,6.40517384309679,0.24005946902462,4.44519646149351,2.06275249444696,8.15567121274186,89.0,3.0,3
Lebanon,3A,66.8,78.875,0.747,6204.862959130629,Middle East/Central Asia,UM,6.859410156249989,0.125671967836407,0.0304359138448088,0.00174653506824409,0.00300245998466896,0.0539079149351823,1.36652591139627,1.58129070306558,0.581943833647208,0.330453241604065,0.146353124564089,0.0422873440338993,1.80877174402287,2.96371720280731,0.0304359138448088,0.0382042536976029,0.00493782788577859,0.253157878199779,193.0,2.0,3
Lesotho,3A,54.6,53.705,0.522,1374.5143751765984,Africa,LM,2.10833007812499,0.0689161298673667,0.426778276014903,0.387397546793088,3.5649392808175e-05,0.00808297285475328,0.409795660438117,1.30100623536104,0.253515156501637,0.254983707674194,0.423464136432229,0.00805345000426805,0.596044203040207,1.54414362650729,0.718018322635384,0.00181504599648323,0.0,0.796832471353987,,1.0,3
Liberia,2A,48.6,63.73,0.48,541.2712433800713,Africa,LI,4.818970214843739,0.139432726634208,0.0215318301205742,0.784126761493847,0.0432412327424055,0.0347095857722093,0.0711890948706548,1.0942312316339,0.288645224105151,0.0335432175111294,0.761355517405608,0.0517513989066456,0.072956738479446,1.24296168218019,0.33355456631482,2.2018896763846,0.279127380612649,2.98871393571848,,0.0,2
Libyan Arab Jamahiriya,3A,,72.724,0.721,8038.589086418168,Africa,UM,6.67856005859375,,,,,,,2.92024678595166,,,,,,3.28113460730195,,,,0.59925087081918,175.0,2.0,3
Lithuania,3A,76.7,75.6805,0.876,17744.05082952606,EU,UM,2.80126000976563,,,,,,,5.41524803382763,,,,,,6.00078459946608,,,,4.74991923456695,95.0,2.0,3
Luxembourg,3A,74.2,82.2951,0.913,111380.64947802796,EU,HI,0.604244995117186,,,,,,,6.2639223889631,,,,,,12.9503590124291,,,,1.20772130207608,44.0,3.0,3
Madagascar,3A,49.0,66.681,,,Africa,LI,26.26230078125,0.208615514614626,0.315627085722102,0.215441627435248,0.0202342461660248,0.0616783350220368,0.0424881278139562,0.864084936773995,0.244842676327043,0.313680126897819,0.218091230119559,0.0184894695187581,0.0942712322456213,0.951053070130837,1.10399207105648,0.655478043058958,0.18054509822097,2.21030906197307,,0.0,3
Malawi,3A,51.4,,0.478,515.1098153814952,Africa,LI,18.14319921875,0.480070806660045,0.0656846860196025,0.177599713309605,0.0197080201210785,0.0666123535800066,0.0293919537549049,0.839067533445243,0.464461294517614,0.0663851146780955,0.178200549870146,0.0210526402141841,0.0836611446603096,0.880373097520357,0.0656846860196025,0.0141720854551978,0.0486169606223313,0.675156892337183,,0.0,3
Malaysia,3A,70.9,75.997,0.805,12116.214158842971,Asia-Pacific,UM,31.5279999999999,0.721965710043476,0.00196731355002335,0.356231789994165,0.411171946629692,0.0701834551716671,2.64920317782693,4.21072339321595,0.708311652782241,0.133881272267589,0.360094744664072,0.432480180161631,2.5545031330091,4.2594544380563,0.0169637669750814,0.572719425809462,0.779301378388529,2.16113373638822,134.0,2.0,3
Mali,3A,52.2,,0.431,778.7259789376953,Africa,LI,19.07769921875,0.67191335473751,0.553318598541872,0.144038632064251,0.0116215388033784,0.0974597287697206,0.0933605760409607,1.57171242895769,0.68803259252119,0.476009490762902,0.143437373717179,0.0327100620779628,0.191385348693027,1.62903459654198,0.553318598541872,0.514359819173664,0.0382111674108789,1.87526266863365,353.0,0.0,3
Malta,2B,75.7,82.4488,0.894,31603.55982841433,EU,HI,0.439247985839844,,,,,,,1.356756897115,,,,,,5.45122858025085,,,,0.48537007274256,104.0,3.0,1
Martinique,2B,,,,,Central America/Caribbean,,0.375673004150389,,,,,,,2.02918070771243,,,,,,3.49389618229202,,,,0.408065286807219,164.0,,1
Mauritania,2A,55.5,64.704,,,Africa,LM,4.403310058593769,0.109650545621247,1.43971386424286,0.190796856385774,0.406139033548266,0.0580630324107828,0.279842311770729,2.48420564397966,0.452952729656864,1.30622971380842,0.196751741353652,0.0794722047876212,0.423165804429305,2.51663522644664,2.51214509942612,0.054254461586779,1.18686859510926,3.92098173415419,228.0,1.0,2
Mauritius,2B,66.7,74.4163,0.801,10561.400120607126,Africa,UM,1.26718994140624,,,,,,,1.76567105045984,,,,,,3.22000230315406,,,,0.667019309545547,178.0,2.0,1
Mexico,3A,69.1,74.992,0.776,10381.088984158934,North America,UM,126.191,,,,,,,2.05239526310448,,,,,,2.38246197307718,,,,1.15460373271264,241.0,2.0,3
