Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland_Footprint_Production,Grazing_Footprint_Production,Forest_Footprint_Production,Fish_Footprint_Production,BuiltUp_Footprint_Production,Carbon_Footprint_Production,Total_Footprint_Production,Cropland_Footprint_Consumption,Grazing_Footprint_Consumption,Forest_Footprint_Consumption,Fish_Footprint_Consumption,Carbon_Footprint_Consumption,Total_Footprint_Consumption,Grazing land,Forest land,Fishing ground,Total_Biocapacity,Overshoot_Day_DOY,Income_Group_Code,Quality_Score_Code
Afghanistan,3A,53.9,64.486,0.509,564.6173825447371,Middle East/Central Asia,LI,37.171898437499905,0.139392867173196,0.15773983101157,0.0520339273718322,8.39720159434353e-05,0.028433397994101,0.0903031468474439,0.467987142414086,0.269787812494637,0.16509514169904,0.0628786314568386,0.00105956501646205,0.155000802846612,0.68225535150769,0.15773983101157,0.0143768678397281,0.0,0.339942964018595,,0.0,3
Albania,3A,71.0,78.458,0.792,5046.032611084467,Other Europe,UM,2.88273999023438,0.362065114608544,0.19571763859697,0.16317448816675,0.018086733562888,0.0422476200804316,0.639822237735029,1.42111383275061,0.547458323680216,0.195847929009886,0.207561322805762,0.0405949713778016,0.852747856167477,1.88645802312157,0.19571763859697,0.310590492414638,0.0820723594803374,0.992693225180922,305.0,2.0,3
Algeria,3A,70.9,76.693,0.746,4759.830053642441,Africa,UM,42.2283984375,0.249653044641197,0.10832919066132,0.0798568994971498,0.0084171093852082,0.037283148604679,1.20064229712231,1.68418168991186,0.64291686791431,0.150201265006895,0.163527534515939,0.013792763402875,1.33318713588963,2.34090871533432,0.249356357690563,0.0253325060186657,0.00754136950463023,0.569166426459735,245.0,2.0,3
Angola,3A,50.3,,0.582,3233.902767090789,Africa,LM,30.809800781249898,0.21091926669825,0.0545463738396665,0.0865844324850323,0.0788920221943008,0.0464374273660293,0.201849768942,0.679229291525279,0.329742116432915,0.0758528505785264,0.0895366909169708,0.0913829061911503,0.228892681045035,0.861844672530626,0.918249423096492,0.48599972653195,0.175160477233779,1.8367663209265,,1.0,3
Antigua and Barbuda,2B,,76.885,0.772,15134.910089609682,Central America/Caribbean,HI,0.09628600311279299,,,,,,,1.91037279893994,,,,,,4.65509241986169,,,,0.856508776466882,123.0,3.0,1
Argentina,3A,,76.52,0.842,10076.39540623727,South America,UM,44.3611015625,2.20742313125958,0.969692208764631,0.250687823331713,0.174033948422431,0.0927052464559134,1.38153722899213,5.07607958722639,0.908613949053974,0.717146941902389,0.276677713367965,0.0835932195035561,1.23300902757136,3.31174609785516,1.7214213629259,0.609912160088308,1.54819429583163,6.17965619656133,173.0,2.0,3
Armenia,3A,71.8,74.945,0.771,4406.741763360718,Middle East/Central Asia,LM,2.95175,,,,,,,1.25129321611811,,,,,,1.90039211653785,,,,0.616116456142707,302.0,1.0,3
Australia,3A,75.6,82.7488,0.943,57032.23705153124,Asia-Pacific,HI,24.89819921875,1.92115791758873,2.41325481658602,0.984092570621241,0.0413691723629151,0.0408703540405788,5.44593930426768,10.8466841354672,0.765994859572182,0.522429083886807,0.947138881586788,0.112822069917975,4.69678370165206,7.08603895065639,4.61339332792159,1.95952920630635,2.93674339815278,11.47169420401,80.0,3.0,3
Austria,3A,82.1,81.6927,0.921,49711.01452939631,EU,HI,8.89138964843749,0.51906870070478,0.144925246547453,1.31108456006782,5.99368427143614e-05,0.131240905009873,2.51309583926309,4.61947518843573,0.751800319841326,0.26921436374345,0.919378383696686,0.0563843932985444,3.93644118703882,6.0644595526287,0.144925246547453,1.87749553859898,0.00295564268453639,2.67568603354563,94.0,3.0,3
Azerbaijan,3A,72.4,,0.754,5795.021656642627,Middle East/Central Asia,UM,9.94954003906248,0.435543823790782,0.173177123036226,0.0162266564097313,0.000289619383426397,0.0569118763828352,1.11456573366079,1.79671483266379,0.591934801042851,0.222369954313027,0.127092963845586,0.0102198615105309,1.05154532053179,2.06007477762662,0.173177123036226,0.107072789619193,0.0144557418774481,0.787161354706485,279.0,2.0,3
Bahamas,3A,,73.752,0.812,28845.521021436787,Central America/Caribbean,HI,0.385636993408203,,,,,,,1.92310528995575,,,,,,4.28452598409871,,,,9.17538369712026,133.0,3.0,3
Bahrain,3A,,77.163,0.852,21477.9706577012,Middle East/Central Asia,HI,1.56944995117187,0.00686045557958919,0.0,0.00174295200877439,0.0265718555044115,0.0693809794524034,7.18705485177368,7.29161109431885,0.590591676953265,0.30791473732531,0.219729537524482,0.0802372604991535,6.90503391399013,8.17288810574474,0.0,0.00077537037049437,0.388243105536235,0.465259910938722,69.0,3.0,3
Bangladesh,3A,63.5,72.32,0.625,1202.1539624605737,Asia-Pacific,LI,161.377,0.273862594835575,0.00319794563405955,0.0619307171747321,0.0217608817386625,0.0814558435756814,0.191779705593373,0.633987688552084,0.385748167749737,0.00544017943188014,0.08178511062609,0.0270048400266276,0.322460085927038,0.903894227337054,0.00319794563405955,0.00512813145574539,0.0512234233030412,0.414867938804102,,0.0,3
Barbados,3A,68.4,79.081,0.81,16136.910427427769,Central America/Caribbean,HI,0.286640991210937,0.0674199932807721,0.00316159287915277,0.0207653360937968,0.0723319367053496,0.054271660452771,1.68619989634865,1.90415041576049,0.575687410582073,0.283128381081388,0.128745080231165,0.272113331588847,2.65570920478227,3.96965506871852,0.00316159287915277,0.0182733834526564,0.0430394819701271,0.186166112035479,144.0,3.0,3
Belarus,3A,78.8,74.1756,0.823,6607.808123636349,Other Europe,UM,9.452620117187509,0.854818813263575,0.249903134506054,1.68479136889059,0.000351119286940541,0.0497615235398288,2.26310219307781,5.10272815256479,0.713218301851431,0.124496003217662,1.31742152829632,0.0713461303252274,2.12673536259474,4.4029788498252,0.249903134506054,1.68508489987914,0.0178146001387219,2.85738297132732,130.0,2.0,3
Belgium,3A,82.2,81.5951,0.93,46768.040172233705,EU,HI,11.4822001953124,0.290762899376203,0.0332169341285414,0.290377779403455,0.0139428819875017,0.133779703541772,2.8946679469227,3.65674814536017,1.10036583034798,0.408781675993326,0.564127271155203,0.094978505365771,4.56360066841408,6.86563365481813,0.0332169341285414,0.262285129854447,0.0418560574867168,0.76190072438768,83.0,3.0,3
Belize,2A,64.4,74.496,0.714,4217.2076175280645,Central America/Caribbean,UM,0.38307101440429603,0.508001299126198,0.194245822829467,0.198326909161879,5.20430664097156,0.000522416858660702,0.376702381498338,6.4821054704461,0.507990847104286,0.274985047933845,0.303776999593317,5.14439286318242,1.64079204470191,7.87246021937444,0.194245822829467,1.87507000648132,0.936025179782358,3.51386472507801,72.0,2.0,2
Benin,3A,49.9,61.47,0.541,1211.3191118850782,Africa,LI,11.4849999999999,0.607541816560887,0.032145828445931,0.239971029286664,0.040518941462872,0.0526068669891117,0.233660366319844,1.20644484906531,0.778173504280193,0.0355927129287684,0.236790878530307,0.106953092506193,0.397322210156711,1.60743926539129,0.032145828445931,0.207890885071152,0.0196409844207302,0.919826381487812,358.0,0.0,3
Bhutan,3A,70.0,71.46,0.649,3128.854115484657,Asia-Pacific,LM,0.754388000488281,0.223886749884971,0.302771717352749,2.73283772233651,2.40487189918628e-06,0.21432925287391,0.796209315534089,4.27003716285413,0.541126600779743,0.379141701240141,2.79280963330095,0.0292221673926583,1.20214028284362,5.15876963843102,0.339840183186475,4.18732008696396,0.0120790156754583,4.97745528858478,110.0,1.0,3
Bolivia,3A,67.6,71.239,0.714,2559.5212761107537,South America,LM,11.353099609375,0.639294965255619,1.6154630861801,0.172084704982988,0.000992459359729189,0.0647496127742872,0.69736534105786,3.18995016961059,0.476111574976585,1.60714177291152,0.201783008850206,0.00949431531915063,0.749221758143257,3.108502042975,2.01286303803475,11.4796501125486,0.0490563479913365,14.2456140766046,184.0,1.0,3
Bosnia and Herzegovina,3A,73.7,77.262,0.777,6096.909506752836,Other Europe,UM,3.32392993164062,0.470343415125155,0.196021949173563,0.814962169094614,0.000139715130083362,0.0304861728542268,2.39956390420984,3.91151732558748,0.86458933067101,0.372742174476917,0.635469037125028,0.0253765995725288,1.96356962308562,3.89223293778533,0.241145428964578,1.25343493126095,0.00390198300938302,1.99931193121429,147.0,2.0,3
Botswana,3A,61.9,69.275,,,Africa,UM,2.2540700683593697,0.0592313268296719,0.538885540726896,0.149347306597951,7.34572613387683e-06,0.0291931660293772,1.10666601150826,1.88333069741829,0.304045374939349,0.0783634110896576,0.219298397450064,0.00948762262901448,1.72886788445757,2.36925585659503,2.21145337245773,0.759826421409103,0.24255495721767,3.30225924394356,242.0,2.0,3
Brazil,3A,71.3,75.672,0.762,11075.624555423476,South America,UM,209.469,1.17864683102796,0.81908964233782,0.745900822677967,0.0314743103959618,0.128556159500955,0.73037163362522,3.63403939956588,0.593462963790421,0.656062245538357,0.465568715265041,0.0409532931520262,0.703355807848312,2.58795918509511,0.81908964233782,6.32165367069396,0.161414176754917,8.60936048031561,222.0,2.0,3
Brunei Darussalam,3A,68.3,75.722,0.836,31436.74303121887,Asia-Pacific,HI,0.42896301269531195,0.0151836835484413,0.0105423539844249,0.138670408965837,0.252558802890595,0.0218599498112835,5.77186152775402,6.2106767269546,0.520176432497796,0.287176006038259,0.202323039263345,0.417119471675245,3.96671404844111,5.41536894772703,0.0105423539844249,1.46909184475751,1.19557712723477,2.71225495933643,105.0,3.0,3
Bulgaria,2A,73.8,74.9634,,,EU,UM,7.05160986328126,1.71355072899917,0.083753514973288,0.514531799738471,0.00266817675226045,0.171560419203059,2.1058242585757,4.59188889824195,0.706830982965451,0.179062758076897,0.462172255959698,0.0370032196849953,2.06444024317878,3.62106987906888,0.0903820561282427,1.17810545420681,0.12270374230178,3.27630240083906,158.0,2.0,2
Burkina Faso,3A,53.5,61.174,0.443,800.3139002101107,Africa,LI,19.7515,0.548195216431469,0.141871592283444,0.31214920623696,0.00417689357470588,0.0715640973132055,0.078631535911159,1.15658854175094,0.498846401712048,0.141710294635151,0.313284145570886,0.0467893914882404,0.189091874863153,1.26128620558268,0.141871592283444,0.236016066298135,0.00114413669435352,0.998791109020606,,0.0,3
Burundi,3A,51.8,61.247,0.431,210.8040801809937,Africa,LI,11.1754003906249,0.400638268090781,0.0582137342359947,0.241266724280077,0.00157278522872648,0.0710949370455026,0.0150073512097011,0.787793800090782,0.412325453206913,0.0590846360057628,0.242643091547767,0.00318456582439277,0.045127633789812,0.83346031742015,0.0582137342359947,0.00844721182283496,0.00701231918472567,0.545406470379839,,0.0,3
Cabo Verde,2B,68.1,72.782,0.663,3740.0024132685367,Africa,LM,0.5437670288085931,,,,,,,1.60858089824442,,,,,,1.83415222311775,,,,0.474331615937812,313.0,1.0,1
Cambodia,2B,64.5,69.57,0.585,1202.624046750576,Asia-Pacific,LI,16.2497998046875,,,,,,,1.31457309109297,,,,,,1.50140806941894,,,,1.19559415479015,,0.0,1
Cameroon,3A,55.3,58.921,0.56,1502.1672024219145,Africa,LM,25.2163007812501,,,,,,,1.12723533275684,,,,,,1.21383126104417,,,,1.59405657674073,,1.0,3
Canada,3A,79.2,82.0488,0.928,51517.74852603988,North America,HI,37.0746015625,2.75137036019306,0.335031896072699,2.92498446623489,0.176004284262537,0.0904776127663071,5.44632992477602,11.7241985443055,0.893169190417726,0.288667957012874,1.3560737849399,0.146312491536123,5.29034866968159,8.06504970635452,0.335031896072699,8.33169749146138,3.22803473338729,14.7366120938807,70.0,3.0,3
Central African Republic,3A,38.3,52.805,0.395,379.36553585401447,Africa,LI,4.66637011718751,0.295875144563285,0.551184166247712,0.287267629621589,0.00946268266347546,0.0381276054583879,0.0265234098929468,1.2084406384474,0.316095053190077,0.537719996802984,0.259781213502962,0.0172378653905667,0.0348672180985765,1.20382895244355,0.551184166247712,6.62300119752983,0.0,7.50818811379922,,0.0,3
Chad,3A,40.9,53.977,0.397,812.019863507005,Africa,LI,15.4777001953125,,,,,,,1.64219504557841,,,,,,1.65132586091452,,,,1.70416331548289,348.0,0.0,3
Chile,3A,77.1,80.042,0.849,15110.096096190044,South America,UM,18.72919921875,0.325363403692681,0.198512049307949,2.08815552813808,0.359350555441888,0.116853293514952,1.6654790392317,4.75371386932725,0.601555196263652,0.419376315899883,1.08750933366462,0.172755477858862,1.89515672650994,4.2932063437119,0.4178462461928,2.12094205846502,0.354819635321136,3.33582463718659,133.0,2.0,3
China,3A,,76.704,0.755,7468.925159999503,Asia-Pacific,UM,1459.3799999999899,0.454208228129585,0.0991133741128563,0.12852887208319,0.0636809865586295,0.107280341174366,2.59962139077406,3.45243319283268,0.569592307296371,0.144927292980504,0.223991873302627,0.071745852205007,2.67919568107786,3.79673334803674,0.0991133741128563,0.221132844336468,0.0416626457918015,0.923397433545077,151.0,2.0,3
Colombia,3A,70.6,77.109,0.764,7692.152795956616,South America,UM,49.660999999999795,0.249719606972251,0.629378278604399,0.0835005081236358,0.0230283083237306,0.0362214590642186,0.529525587879931,1.55137374896817,0.380052458649219,0.613313435371718,0.114432191260665,0.0408992268272754,0.67170918514361,1.85662795631671,1.09914159302959,1.98830071671341,0.0657033736431025,3.43908674942258,310.0,2.0,3
Comoros,2B,,64.118,0.552,1402.7383270693822,Africa,LI,0.8323220214843761,,,,,,,0.889176856266902,,,,,,1.19337515186407,,,,0.352037535962415,,0.0,1
Congo,3A,52.9,64.29,0.573,2303.979954655527,Africa,LM,5.24435986328125,,,,,,,0.940286261541616,,,,,,1.02807457935432,,,,8.7776089517278,,1.0,3
"Congo, Democratic Republic of",3A,49.3,60.368,0.478,418.9888833615827,Africa,LI,84.0681015625,0.208885570147107,0.00835102484398185,0.422197690737425,0.00529529691478538,0.0608518219872606,0.00927517378275823,0.714856578413318,0.224335307895646,0.0100739821946191,0.421817933473999,0.0159806977985287,0.0489688611183723,0.782028604468426,0.250075268433282,1.6036486078802,0.0360784258997131,2.15953969434756,,0.0,3
Costa Rica,3A,73.6,,0.808,9936.593014862094,Central America/Caribbean,UM,4.99943994140626,0.362838022539974,0.271990943710331,0.429596456559841,0.0461857866293961,0.089595767700434,0.558865304963722,1.7590722821037,0.378971683092413,0.206490981225081,0.661118263842796,0.0981642294746287,1.01190618035693,2.44624710569229,0.271990943710331,0.663899096578462,0.114140529697404,1.50246436022661,235.0,2.0,3
Côte d'Ivoire,3A,57.6,57.422,0.534,1667.9431853860758,Africa,LM,25.06919921875,1.07573300978485,0.0186592773159155,0.2052249708808,0.0419329571277421,0.110831564227826,0.15120394875043,1.60358572808756,0.573612921124124,0.0444125176857928,0.215035431115164,0.189740969021868,0.262749440538295,1.39638284371307,0.460986541447211,0.108047998259597,0.0328941626820584,1.78849327640154,,1.0,3
Croatia,3A,80.4,78.0707,0.848,15707.704151177855,Other Europe,HI,4.156399902343741,0.707251724369652,0.0328763898856869,0.772826226064721,0.0471763609481186,0.0779440821191596,1.43189277206336,3.0699675554507,0.621641785924113,0.178736183528962,0.648162337678429,0.0780686859205364,2.27631149753694,3.88086457270814,0.139069745841961,1.56322944073422,0.344997389728195,2.83249238279318,147.0,3.0,3
Cuba,3A,73.7,78.726,0.781,6816.918413390201,Central America/Caribbean,UM,11.338099609374899,,,,,,,1.25655303561614,,,,,,1.76110462900539,,,,0.768483504663401,327.0,2.0,3
Cyprus,2B,74.9,80.828,0.885,23394.93936874519,EU,HI,1.18927001953125,,,,,,,2.0992040652454,,,,,,3.85016788334156,,,,0.205836195259047,149.0,3.0,1
Czech Republic,3A,81.4,79.0293,0.898,23720.8992721539,EU,HI,10.6657001953125,0.852452413995418,0.0783050962092146,1.54531997460859,0.0014894260502505,0.123454604833586,3.3420830422821,5.94310455797916,0.656119263637913,0.329684497469213,1.07574302706189,0.0391080339773337,3.49352351751608,5.71763294449601,0.0783050962092146,1.27301728354201,0.00199576675165565,2.32922516533189,100.0,3.0,3
Denmark,3A,84.9,80.9537,0.939,64671.69684598826,EU,HI,5.7521298828125,1.35691122972354,0.00903610769621985,0.350006813183871,0.572613727471708,0.158076648337212,1.94824709004259,4.39489161645514,0.702308675535776,0.469323949930319,1.06115959522974,0.812304625880033,3.45021385881744,6.65338735373052,0.00903610769621985,0.3389603160948,1.75530882351399,3.61829312536576,85.0,3.0,3
Djibouti,2A,53.8,66.582,0.518,,Africa,LM,0.958922973632809,0.016971697422391,0.208936671086637,0.157164626598094,0.0245136441557069,0.215456551427915,0.284709055691553,0.907752246382297,1.49324711582379,0.0,0.300297708510985,0.0335568338880457,0.395830036218774,2.43838824586951,0.208936671086637,0.00198551221719291,0.270715061040397,0.714065493194533,235.0,1.0,2
Dominica,2B,,,0.738,6696.54450261782,Central America/Caribbean,UM,0.0716249999999998,,,,,,,1.31845819580782,,,,,,2.45839865678177,,,,1.14067533755465,233.0,2.0,1
Dominican Republic,3A,70.8,73.892,0.751,7697.772958468685,Central America/Caribbean,UM,10.627099609375,0.307819792152998,0.107435401662159,0.0392613135665177,0.0109438901663187,0.0630008674608571,0.80020515159139,1.32866641660024,0.393476427067286,0.132922539461622,0.126868032757952,0.0406763075602929,1.01189961082139,1.7688437851294,0.107435401662159,0.166033509327343,0.0235026372228648,0.667792207826222,325.0,2.0,3
Ecuador,2B,72.5,76.8,0.762,5180.585679118625,South America,UM,17.0844003906249,,,,,,,2.26600109126402,,,,,,1.70246786871039,,,,1.88578879006471,338.0,2.0,1
Egypt,2B,68.6,71.825,0.701,2905.807097684674,Africa,LM,98.4236015624997,,,,,,,1.30928931544227,,,,,,1.83631018042192,,,,0.365710103148648,313.0,1.0,1
El Salvador,3A,,73.096,0.67,3507.051356928708,Central America/Caribbean,LM,6.42075,0.210416397591599,0.0993453720943967,0.31652133667243,0.196585891950582,0.0423998833979744,0.356047199796689,1.22131608150367,0.440008725259715,0.192994300323537,0.419115179081467,0.142865894400577,0.790651992446812,2.02803597491008,0.139388773881586,0.0875673373790947,0.109250647230487,0.589023039480741,283.0,1.0,3
Equatorial Guinea,2A,,58.402,0.582,10134.6862776952,Africa,HI,1.3089699707031202,0.080155406699208,0.00535446170148462,0.817995532367474,0.0144389872333907,0.023078122018467,1.53123486378008,2.4722573738001,0.239755025459284,0.0240664101703325,0.151856723378593,0.0517534361232462,1.53123486378008,2.02174458093,0.0825295825433881,2.60265053025836,0.567965660378267,3.35637930189769,284.0,3.0,2
Eritrea,3A,,65.941,,,Africa,LI,3.4527900390625,0.13422458235707,0.327680453481118,0.113810918605388,0.0293345386692777,0.0432377727574596,0.0837019997363171,0.731990265606631,0.213612073866541,0.328630877517758,0.116327979944918,0.0291538330320609,0.0837019997363171,0.814664536855055,0.327680453481118,0.103791010676952,1.64564456009012,2.25457837936272,,0.0,3
Estonia,3A,81.6,78.2439,0.889,19918.66411020177,EU,HI,1.32292004394531,0.892784040385227,0.102397016724005,5.27416373140568,0.251423492361692,0.0824230272526086,3.96309302967456,10.5662843378038,0.293919909586631,0.1636567468534,4.03395260248727,0.0771217234048601,3.35836649650104,8.0094405060858,0.102397016724005,3.98918571442986,4.26499674628266,9.33178654507436,71.0,3.0,3
Eswatini,3A,53.3,59.401,0.605,4761.590330288579,Africa,LM,1.1362800292968702,0.279356724403419,0.401557599901612,1.17450917230864,8.71010605873212e-05,0.069788898712182,0.365782191501997,2.29108168788843,0.4385463766969,0.465571737155513,0.977699148954934,0.0188716092068935,0.493417776038449,2.46389554676487,0.553812714265285,0.0483056679118953,0.00513240496966679,0.956396410262447,233.0,1.0,3
Ethiopia,3A,54.5,66.24,0.478,570.6548011426061,Africa,LI,109.224,,,,,,,0.959136227892913,,,,,,1.02052428088345,,,,0.557953387449338,,0.0,3
Fiji,3A,71.2,67.341,0.742,4794.682114005652,Asia-Pacific,UM,0.883482971191405,0.169387177628517,0.0897540618163508,0.644178579434142,0.527720871210426,0.0258334417164674,0.451843598819424,1.90871773062533,0.427076484824165,0.217241182316632,0.76563240029071,0.534658021263824,0.696886938016122,2.66732846842792,0.0897540618163508,1.40990104205057,0.646921098959677,2.34179682217158,215.0,2.0,3
Finland,3A,,81.7341,0.937,48890.19193573543,EU,HI,5.522580078125,,,,,,,11.8569123388014,,,,,,6.44346417261359,,,,12.1384397861742,88.0,3.0,3
France,3A,81.7,82.7244,0.898,45056.68277020996,EU,HI,65.02919921874991,1.08931925330005,0.157550574269054,0.414529589473104,0.138505104721672,0.151290028007059,1.68127818729352,3.63247273706446,0.791202473815155,0.243761705459732,0.509444271401819,0.217009734699067,2.50832310779487,4.4210313211777,0.157550574269054,0.871603839218341,0.110223214646119,2.37998690944062,129.0,3.0,3
French Guiana,2A,,,,,South America,,0.28293798828125,0.0891478769073354,0.0572799482932157,0.38122467665326,0.0694966263646055,0.00505190706870232,0.733013175499661,1.33521421078678,0.0891478769073354,0.0572799482932157,0.372336956642109,0.0694966263646055,1.28510463972094,1.8784179549969,0.0665290670416346,78.2455195397996,13.7336719871432,92.1399203779605,306.0,,2
French Polynesia,2B,,77.462,,,Asia-Pacific,HI,0.27767898559570303,,,,,,,2.12409540162839,,,,,,3.995740717582,,,,1.30575229662656,143.0,3.0,1
Gabon,2A,62.8,66.187,0.697,9051.324193338469,Africa,UM,2.1192700195312404,0.242869621547223,0.0217122577459441,0.856456057362275,0.0620027622003889,0.0406322334051858,0.40567187385137,1.62934480611239,0.501665026381524,0.1281425970747,0.543314425803068,0.157832837610789,0.581752217259872,1.95333933753514,1.02046448543861,15.3599204371801,2.25934024770724,18.9232270252784,294.0,2.0,2
Gambia,3A,59.3,61.735,0.487,791.4555699285903,Africa,LI,2.28009008789062,0.133736753991931,0.0306666194676948,0.147233753565012,0.0794425224290846,0.0182009413468322,0.0911736082328416,0.500454199033396,0.460530931996108,0.0504737640522236,0.141443537745449,0.0770084967463704,0.293079662260357,1.04073733414734,0.0306666194676948,0.0822608219901389,0.250954227110227,0.515819363906823,,0.0,3
