SDGi,Life Expectancy,HDI,Per Capita GDP,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Quality Score_3A,Quality Score_2A,Region_Other Europe,Region_Africa,Region_South America,Region_Middle East/Central Asia,Region_Asia-Pacific,Region_EU,Region_Central America/Caribbean,Region_North America,Income Group_UM,Income Group_LM,Income Group_HI,Income Group_LI
71.0,78.458,0.792,5046032611084467,2.88273999023438,0.362065114608544,0.19571763859697,0.16317448816675,0.018086733562888,0.0422476200804316,0.639822237735029,1.42111383275061,0.547458323680216,0.195847929009886,0.207561322805762,0.0405949713778016,0.0422476200804316,0.852747856167477,1.88645802312157,0.362065114608544,0.19571763859697,0.310590492414638,0.0820723594803374,0.0422476200804316,0.992693225180922,-0.893764797940648,1.1919813601342713,1.9003434044568563,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70.9,76.693,0.746,4759830053642441,42.2283984375,0.249653044641197,0.10832919066132,0.0798568994971498,0.0084171093852082,0.037283148604679,1.20064229712231,1.68418168991186,0.64291686791431,0.150201265006895,0.163527534515939,0.013792763402875,0.037283148604679,1.33318713588963,2.34090871533432,0.249653044641197,0.249356357690563,0.0253325060186657,0.0075413695046302,0.037283148604679,0.569166426459735,-1.7717422888745848,1.4791315365910769,4.112872099457758,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72.8,76.52,0.842,1007639540623727,44.3611015625,2.20742313125958,0.969692208764631,0.250687823331713,0.174033948422431,0.0927052464559134,1.38153722899213,5.07607958722639,0.908613949053974,0.717146941902389,0.276677713367965,0.0835932195035561,0.0927052464559134,1.23300902757136,3.31174609785516,2.20742313125958,1.7214213629259,0.609912160088308,1.54819429583163,0.0927052464559134,6.17965619656133,2.8679100987061705,2.092566900380145,0.5359110592103782,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
71.8,74.945,0.771,4406741763360718,2.95175,0.208557325196056,0.156551687882874,0.198052713856041,4.41355787858651e-05,0.0357629323497004,0.652324421254654,1.25129321611811,0.482838528337327,0.201365023087704,0.2671960150033,0.0007562004438458,0.0357629323497004,0.912473417315973,1.90039211653785,0.208557325196056,0.263464504424988,0.0926493689157448,0.0156823252562176,0.0357629323497004,0.616116456142707,-1.2842756603951428,1.200785785898854,3.084469011646841,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75.6,82.7488,0.943,5703223705153124,24.89819921875,1.92115791758873,2.41325481658602,0.984092570621241,0.0413691723629151,0.0408703540405788,5.44593930426768,10.8466841354672,0.765994859572182,0.522429083886807,0.947138881586788,0.112822069917975,0.0408703540405788,4.69678370165206,7.08603895065639,1.92115791758873,4.61339332792159,1.95952920630635,2.93674339815278,0.0408703540405788,11.47169420401,4.385655253353609,4.477399572555192,0.6176976848092257,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82.1,81.6927,0.921,4971101452939631,8.89138964843749,0.51906870070478,0.144925246547453,1.31108456006782,5.99368427143614e-05,0.131240905009873,2.51309583926309,4.61947518843573,0.751800319841326,0.26921436374345,0.919378383696686,0.0563843932985444,0.131240905009873,3.93644118703882,6.0644595526287,0.51906870070478,0.144925246547453,1.87749553859898,0.0029556426845363,0.131240905009873,2.67568603354563,-3.3887735190830703,3.8319022514267673,2.2665064124106173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72.4,72.864,0.754,5795021656642627,9.94954003906248,0.435543823790782,0.173177123036226,0.0162266564097313,0.0002896193834263,0.0569118763828352,1.11456573366079,1.79671483266379,0.591934801042851,0.222369954313027,0.127092963845586,0.0102198615105309,0.0569118763828352,1.05154532053179,2.06007477762662,0.435543823790782,0.173177123036226,0.107072789619193,0.0144557418774481,0.0569118763828352,0.787161354706485,-1.272913422920135,1.301683210183702,2.6170933891880104,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66.1,77.163,0.852,214779706577012,1.56944995117187,0.0068604555795891,0.0,0.0017429520087743,0.0265718555044115,0.0693809794524034,7.18705485177368,7.29161109431885,0.590591676953265,0.30791473732531,0.219729537524482,0.0802372604991535,0.0693809794524034,6.90503391399013,8.17288810574474,0.0068604555795892,0.0,0.0007753703704943,0.388243105536235,0.0693809794524034,0.465259910938722,-7.707628194806017,5.164138380556491,17.566284808968135,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68.4,79.081,0.81,16136910427427769,0.286640991210937,0.0674199932807721,0.0031615928791527,0.0207653360937968,0.0723319367053496,0.054271660452771,1.68619989634865,1.90415041576049,0.575687410582073,0.283128381081388,0.128745080231165,0.272113331588847,0.054271660452771,2.65570920478227,3.96965506871852,0.0674199932807721,0.0031615928791527,0.0182733834526564,0.0430394819701271,0.054271660452771,0.186166112035479,-3.783488956683041,2.508274655507707,21.323188336027528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78.8,74.1756,0.823,6607808123636349,9.452620117187507,0.854818813263575,0.249903134506054,1.68479136889059,0.0003511192869405,0.0497615235398288,2.26310219307781,5.10272815256479,0.713218301851431,0.124496003217662,1.31742152829632,0.0713461303252274,0.0497615235398288,2.12673536259474,4.4029788498252,0.854818813263575,0.249903134506054,1.68508489987914,0.0178146001387219,0.0497615235398288,2.85738297132732,-1.5455958784978794,2.7820755371872137,1.5409130991565736,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
