,Country,Rang_voisin,Voisin,Distance,Voisin_manquant,p
92,Costa Rica,3,Albania,1.2677430708336215,False,0.0
93,Costa Rica,4,Mexico,1.2884114071861916,False,0.0
94,Costa Rica,5,"Iran, Islamic Republic of",1.3035361617355932,False,0.0
95,Costa Rica,6,Dominican Republic,1.3304904762839684,False,0.0
96,Costa Rica,7,Malaysia,1.3877124830745124,False,0.0
97,Costa Rica,8,Azerbaijan,1.419831090205753,False,0.0
98,Costa Rica,9,Serbia,1.5779018800596682,False,0.0
99,Costa Rica,10,Republic of North Macedonia,1.5886563512864702,False,0.0
100,Cuba,1,Jamaica,0.7008067930848226,False,0.0
101,Cuba,2,Republic of North Macedonia,1.0099934918324385,False,0.0
102,Cuba,3,Albania,1.07702698548234,False,0.0
103,Cuba,4,Panama,1.2125241234511954,False,0.0
104,Cuba,5,Dominican Republic,1.2314947843241202,False,0.0
105,Cuba,6,Fiji,1.3927686842572506,False,0.0
106,Cuba,7,Tunisia,1.4306861982438546,False,0.0
107,Cuba,8,El Salvador,1.5179241455708279,False,0.0
108,Cuba,9,Montenegro,1.6260985061955313,False,0.0
109,Cuba,10,Algeria,1.7012003043123929,False,0.0
110,Dominican Republic,1,Albania,0.7750982877834554,False,0.1
111,Dominican Republic,2,Tunisia,1.097752792221166,False,0.1
112,Dominican Republic,3,Sri Lanka,1.103680683513317,True,0.1
113,Dominican Republic,4,El Salvador,1.1053878438523215,False,0.1
114,Dominican Republic,5,Algeria,1.1676630988958099,False,0.1
115,Dominican Republic,6,Jamaica,1.1891113907625885,False,0.1
116,Dominican Republic,7,Azerbaijan,1.2170376217435075,False,0.1
117,Dominican Republic,8,Cuba,1.2314947843241202,False,0.1
118,Dominican Republic,9,Republic of North Macedonia,1.2485499855049609,False,0.1
119,Dominican Republic,10,Morocco,1.2845360093772087,False,0.1
120,El Salvador,1,Tunisia,0.4504334438061096,False,0.2
121,El Salvador,2,Algeria,0.8076012866908571,False,0.2
122,El Salvador,3,Georgia,0.9439125763249951,False,0.2
123,El Salvador,4,Nicaragua,0.9502668719965551,True,0.2
124,El Salvador,5,Sri Lanka,0.9561895382726678,True,0.2
125,El Salvador,6,Morocco,1.0106074320310132,False,0.2
126,El Salvador,7,Jamaica,1.057961205949887,False,0.2
127,El Salvador,8,Fiji,1.0580219585387318,False,0.2
128,El Salvador,9,Dominican Republic,1.1053878438523215,False,0.2
129,El Salvador,10,Jordan,1.1564084568957473,False,0.2
130,Eswatini,1,Guinea,0.7896313211157405,False,0.7
131,Eswatini,2,Niger,1.0971975276038228,True,0.7
132,Eswatini,3,"Tanzania, United Republic of",1.2708434039576162,True,0.7
133,Eswatini,4,Sudan,1.2796250854036966,True,0.7
134,Eswatini,5,Cameroon,1.435605756005408,True,0.7
135,Eswatini,6,Senegal,1.480571725556561,True,0.7
136,Eswatini,7,Madagascar,1.4810339996612336,True,0.7
137,Eswatini,8,Mali,1.5649132127973804,False,0.7
138,Eswatini,9,Benin,1.58675948344296,False,0.7
139,Eswatini,10,Burkina Faso,1.6071006499412546,True,0.7
140,Fiji,1,Tunisia,0.9025476526941847,False,0.1
141,Fiji,2,El Salvador,1.0580219585387318,False,0.1
142,Fiji,3,Jamaica,1.22358838673437,False,0.1
143,Fiji,4,Algeria,1.287867303331783,False,0.1
144,Fiji,5,Nicaragua,1.3517904161706715,True,0.1
145,Fiji,6,Cuba,1.3927686842572506,False,0.1
146,Fiji,7,Georgia,1.400436883626293,False,0.1
147,Fiji,8,Dominican Republic,1.459698372463302,False,0.1
148,Fiji,9,Panama,1.469828922705086,False,0.1
149,Fiji,10,Mexico,1.4947001143776018,False,0.1
150,Gabon,1,Namibia,2.711234187773634,False,0.4
151,Gabon,2,Fiji,3.015064727481562,False,0.4
152,Gabon,3,Nicaragua,3.248184917919174,True,0.4
153,Gabon,4,Congo,3.2882796093732467,True,0.4
154,Gabon,5,Botswana,3.464855393208333,False,0.4
155,Gabon,6,Tunisia,3.547114262184594,False,0.4
156,Gabon,7,El Salvador,3.563732517734088,False,0.4
157,Gabon,8,Liberia,3.578875506533119,True,0.4
158,Gabon,9,Colombia,3.632235337765518,False,0.4
159,Gabon,10,Senegal,3.6382558747320783,True,0.4
160,Georgia,1,Algeria,0.45213687109580675,False,0.1
161,Georgia,2,Armenia,0.5602871089055138,False,0.1
162,Georgia,3,Tunisia,0.7356231293683666,False,0.1
163,Georgia,4,Lebanon,0.8504051457117493,False,0.1
164,Georgia,5,Jordan,0.9071714955033595,False,0.1
165,Georgia,6,El Salvador,0.9439125763249951,False,0.1
166,Georgia,7,Azerbaijan,1.0567320678052097,False,0.1
167,Georgia,8,Sri Lanka,1.0607620963474311,True,0.1
168,Georgia,9,Morocco,1.2593747774826831,False,0.1
169,Georgia,10,Mexico,1.3033377394398193,False,0.1
170,Ghana,1,Nepal,1.0444452471278007,True,0.6
171,Ghana,2,Côte d'Ivoire,1.1398457146043093,True,0.6
172,Ghana,3,Papua New Guinea,1.165839787634414,False,0.6
173,Ghana,4,Myanmar,1.5340161408017234,False,0.6
174,Ghana,5,Bangladesh,1.6014525782762525,True,0.6
175,Ghana,6,Cameroon,1.6152490969720528,True,0.6
176,Ghana,7,Guatemala,1.7010011717744922,False,0.6
177,Ghana,8,Tajikistan,1.7380793868425741,True,0.6
178,Ghana,9,Kyrgyzstan,1.7543758475443294,True,0.6
179,Ghana,10,Viet Nam,1.7666732920733326,False,0.6
180,Guatemala,1,Indonesia,0.5004641182848901,False,0.6
181,Guatemala,2,Morocco,0.7859612681283049,False,0.6
182,Guatemala,3,Philippines,0.8472959352686716,True,0.6
183,Guatemala,4,Kyrgyzstan,0.8612208972598256,True,0.6
184,Guatemala,5,Sri Lanka,1.0372182687601825,True,0.6
185,Guatemala,6,Tajikistan,1.1828863802196752,True,0.6
186,Guatemala,7,Viet Nam,1.3180130081141763,False,0.6
187,Guatemala,8,Uzbekistan,1.414802074358177,False,0.6
188,Guatemala,9,Bangladesh,1.4235131798650646,True,0.6
189,Guatemala,10,India,1.4690105853387068,True,0.6
190,Guinea,1,Niger,0.5522131801205513,True,0.9
191,Guinea,2,Madagascar,0.7528409370011107,True,0.9
192,Guinea,3,Eswatini,0.7896313211157405,False,0.9
193,Guinea,4,"Tanzania, United Republic of",0.8436388786737234,True,0.9
194,Guinea,5,Sudan,1.0396168974427793,True,0.9
195,Guinea,6,Nigeria,1.0930398323870592,True,0.9
196,Guinea,7,Burkina Faso,1.2049669355913037,True,0.9
197,Guinea,8,Angola,1.2141893786972153,True,0.9
198,Guinea,9,Cameroon,1.2524165647049772,True,0.9
199,Guinea,10,Ethiopia,1.3002602504258438,True,0.9
200,Indonesia,1,Guatemala,0.5004641182848901,False,0.3
201,Indonesia,2,Morocco,0.6157259163784405,False,0.3
202,Indonesia,3,Philippines,0.708862342452109,True,0.3
203,Indonesia,4,Sri Lanka,0.7557532871945649,True,0.3
204,Indonesia,5,Kyrgyzstan,0.8361784491644181,True,0.3
205,Indonesia,6,Uzbekistan,1.1249441010939318,False,0.3
206,Indonesia,7,Azerbaijan,1.1257570573329931,False,0.3
207,Indonesia,8,Viet Nam,1.2706666259381212,False,0.3
208,Indonesia,9,Jordan,1.3096177293612241,False,0.3
209,Indonesia,10,Algeria,1.3475458460597545,False,0.3
210,Iraq,1,Armenia,1.3462237253301348,False,0.3
211,Iraq,2,Georgia,1.3751270547617511,False,0.3
212,Iraq,3,El Salvador,1.4218375300615278,False,0.3
213,Iraq,4,Tunisia,1.47567396229595,False,0.3
214,Iraq,5,Algeria,1.6121534719101802,False,0.3
215,Iraq,6,Jordan,1.7031575814908724,False,0.3
216,Iraq,7,Jamaica,1.8021068130026858,False,0.3
217,Iraq,8,Pakistan,1.8530402720880363,True,0.3
218,Iraq,9,Yemen,1.8974122026347058,True,0.3
219,Iraq,10,Sri Lanka,1.9034198961800357,True,0.3
220,Jamaica,1,Cuba,0.7008067930848226,False,0.0
221,Jamaica,2,El Salvador,1.057961205949887,False,0.0
222,Jamaica,3,Tunisia,1.0630631524863263,False,0.0
223,Jamaica,4,Dominican Republic,1.1891113907625885,False,0.0
224,Jamaica,5,Fiji,1.22358838673437,False,0.0
225,Jamaica,6,Albania,1.449836215990095,False,0.0
226,Jamaica,7,Algeria,1.4716424630517546,False,0.0
227,Jamaica,8,Georgia,1.513025486486698,False,0.0
228,Jamaica,9,Republic of North Macedonia,1.5168226105108666,False,0.0
229,Jamaica,10,Panama,1.6090356721328611,False,0.0
230,Jordan,1,Algeria,0.682174239704216,False,0.2
231,Jordan,2,Sri Lanka,0.7218780994335136,True,0.2
232,Jordan,3,Azerbaijan,0.8873176278082068,False,0.2
233,Jordan,4,Lebanon,0.9069210541326997,False,0.2
234,Jordan,5,Georgia,0.9071714955033595,False,0.2
235,Jordan,6,Armenia,0.9348324513606402,False,0.2
