"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Country"
-3.26560609491973,-1.17717419885667,-0.521309537597101,-0.269740484733926,0.0969454653165796,"Afghanistan"
0.201878468331326,-0.436162401486234,1.82277964808255,-1.06820031014929,-1.78171477116757,"Albania"
-0.569902538219588,-0.543303950142051,0.647410130632589,-0.673728140464486,-0.642680463929402,"Algeria"
-3.34923615491822,0.0319843394603414,-0.357287767014116,0.205528598732617,0.703640888665418,"Angola"
2.17552116042276,5.16458427636687,1.88362797613433,-0.757302437836268,-0.321641877262537,"Argentina"
-0.678382292921522,-1.176689066181,0.84064739315014,0.623531751003988,0.524176629807916,"Armenia"
3.8605709466596,2.67043813184365,0.499483411751303,0.922706422396135,1.4021513681904,"Australia"
3.9522644077904,-0.561422733052913,-1.49122713106665,0.0797077079055543,0.915900339416354,"Austria"
-0.140682386278647,-0.628830605919324,1.15182148336536,-0.266081508319403,-0.529602409667909,"Azerbaijan"
1.37122260765672,-2.62579257005218,-0.236507488907137,0.0917915866591511,0.856001916524292,"Bahrain"
-1.86308502802897,-0.372654636572066,-0.36290024178121,1.78146398445161,-0.53904706385696,"Bangladesh"
0.646510012957746,-2.32965615368204,0.857958196036074,-0.824442846038538,-0.105688591466108,"Barbados"
1.65322281229853,0.807005039499414,1.1009735587046,-1.31436750270723,-1.936076369113,"Belarus"
4.28345261045099,-1.0613613963743,-1.60103673417542,0.056749931603379,0.61995775620006,"Belgium"
0.551517104807385,-2.38404791458186,3.76287195950354,-3.61521008133488,-2.27853930521624,"Belize"
-2.61317708972081,0.686499564868803,-1.99572684002332,-0.996771597945127,-0.778941789964393,"Benin"
0.800040838240943,1.0440571528767,-1.24061672739656,2.41982727140218,1.43409651396313,"Bhutan"
-0.732313449628795,2.32937831423457,2.07381534898734,0.182535035029796,2.50070981164908,"Bolivia"
1.0969798959868,-0.146823171874613,1.39805050012242,-1.32721609173092,-1.94763986533702,"Bosnia and Herzegovina"
-1.87552539970852,-0.460890187346698,1.04075866781841,-0.800764890853849,0.839653998576323,"Botswana"
0.928537702100191,3.28230444446811,1.9333107441492,0.146142335153777,0.406657603511136,"Brazil"
0.844835671916168,-2.32684654566734,0.315642725791264,1.0418031035666,0.533860945136517,"Brunei Darussalam"
2.42850631465862,3.06966095848728,-0.698980874291816,-0.131387033662101,-1.22331763880168,"Bulgaria"
-3.13105354346,0.69653645740136,-1.96202060343139,-0.749469179225438,-0.442262139966305,"Burkina Faso"
-3.51667856242041,0.372345462548369,-1.89649505823917,-0.704360586653584,-0.299105046517502,"Burundi"
-2.59575020261865,0.813951283905781,-0.94319616667948,0.137192322820596,-0.121584055271491,"Cameroon"
5.69086080836586,4.70101153001101,-1.60449133884122,-0.427539025732063,-2.80405219646692,"Canada"
-4.75170238600101,0.421940928694191,-1.85040298155339,-1.03179726552588,0.339803853370691,"Central African Republic"
-4.30594655413032,0.571949508214705,-2.01383563323407,-0.838969636346012,0.163157811668737,"Chad"
1.54835954189625,1.07762530487708,1.9337935444432,-0.489000176288086,1.25107005231569,"Chile"
0.334173083729037,0.0609693923615487,1.58625141434738,6.09323074518948,-2.9342267232063,"China"
-0.467431417024333,0.658740208447587,2.870011886454,-0.56024215126438,1.25320825161864,"Colombia"
-3.3164523253456,0.320019268127201,0.31711417763183,0.0114977533430701,1.8026052955343,"Congo"
-3.90937402250487,-0.0123830525971208,-1.6250358092388,-0.480671102236237,0.0900157266123984,"Congo, Democratic Republic of"
0.335140822111057,-0.760223912689513,1.90568904937616,-0.901564270237815,-0.647297460438337,"Costa Rica"
-2.13700438155634,2.1666248951697,-1.23700868681082,0.273367513400998,-0.342355980432956,"Côte d'Ivoire"
2.07331130663613,-0.109657345136169,0.263070192801892,-0.684573173002597,-1.08723088856194,"Croatia"
-0.201545864378202,-1.36527902869527,2.26911916511743,-1.15470738658012,-1.09859334712177,"Cuba"
3.43196623764204,0.309535395385938,-1.47665314217208,0.0441528605776796,0.477486361408816,"Czech Republic"
5.03437321067927,0.910831732176093,-1.67288024781498,-0.229825316033705,0.214874155510362,"Denmark"
-0.587229765514632,-0.989061276896425,1.94408911304849,-0.964175419745228,-0.929978213530928,"Dominican Republic"
-1.18270431572486,-1.10684123022945,1.25169679899502,-0.238002614483018,-0.153588960864881,"El Salvador"
4.00852515139064,0.789279818837842,-2.07278228289569,-0.580923471512356,1.69610372126327,"Estonia"
-2.41417700688901,0.34089292720629,-1.08587173834127,0.0955980693388021,0.747717252082466,"Eswatini"
-3.15820801491987,0.116720372602644,-1.61451567515621,-0.347727028160245,-0.28135469166044,"Ethiopia"
-0.644893277570827,-0.855174456043049,1.3195188100411,0.614860872722158,-0.425733278560725,"Fiji"
4.06311182775575,-0.421270735388891,-1.08209847349059,-0.291262734133607,1.17883274482357,"Finland"
3.99108486595948,0.726599502687307,-1.4299196395734,0.29618054669411,0.108028628155385,"France"
-1.5961461081912,0.439397617582909,0.74733804844481,-1.13815171992056,0.66922963917524,"Gabon"
-3.38628827185219,-0.580511439500778,-1.37521721258092,-0.980474897344516,-0.262437202410859,"Gambia"
-0.756505846237553,-1.3627950280204,1.02126173709694,0.657647736506644,0.701630285015931,"Georgia"
3.56333026486721,-0.570910003940953,-1.23615075374801,0.404944787037843,0.628233566788206,"Germany"
-1.50487642343851,1.27128069212046,-1.02748828325058,0.23887419249425,-0.107640111071936,"Ghana"
2.46093863088643,-0.790255705888157,-0.720843442702624,-0.235979561180098,0.302446302912273,"Greece"
-1.19144771332192,-0.346566274308359,0.826908457657897,0.0130768973902304,-0.135692295589297,"Guatemala"
-2.98243527813506,0.628741682424914,-1.86957623586639,-0.910705298033582,-0.156298986092157,"Guinea"
-0.426248620113963,5.13611107883423,2.32333757900977,-0.681881598438627,3.85231647300812,"Guyana"
-3.38173680887251,-1.17940011931202,0.00671556489509656,-1.22806999858296,-0.623428771302097,"Haiti"
3.29158719387979,2.25477745326898,-1.80268189713142,0.2917217088057,-0.357813873775053,"Hungary"
-1.99538334017473,-0.145217627644537,1.06555094732587,6.4611665135256,-2.01234806502225,"India"
-0.930127602898477,0.0602239658912369,0.656084288469065,2.79499890849472,-0.534309366435328,"Indonesia"
0.128850611105719,-0.970887537806852,1.25565361800111,0.0302483340150014,-0.564011314848505,"Iran, Islamic Republic of"
-1.75027519004896,-1.55379281112158,0.731584408725208,0.669050058014793,0.460743778902464,"Iraq"
4.16449171488605,-1.18893476012741,-1.14306863368638,-0.293063207201168,1.12979366993998,"Ireland"
1.96697489919457,-2.55918136037543,0.193858453219558,-0.0689467429149885,0.610578580900566,"Israel"
2.86119998796271,-1.33275815915495,-0.718717981100215,-0.1401005558901,0.376318026515409,"Italy"
-0.885490900841967,-1.53163691269999,2.08794870640243,-1.16116385903112,-0.904322681910303,"Jamaica"
2.00825968726106,-2.29336951545854,0.490686045176564,1.8479281528421,0.462546665612094,"Japan"
-0.707820296965797,-1.4273955693343,1.29196546103932,-0.128674296147118,-0.168885174503929,"Jordan"
1.50012142762402,1.7701676109239,0.994577392555726,-0.550701730926725,-0.961560181559016,"Kazakhstan"
-2.99534980365416,-0.461525672940183,-1.11566860015035,-0.57033462984796,-0.0667789339968009,"Kenya"
2.19449467379248,-2.14926720238302,0.376246896788025,1.40878852095684,0.19364648130584,"Korea, Republic of"
1.70776001724501,-1.89674173733976,-1.04466139095071,0.609754456001835,1.08654202508825,"Kuwait"
-1.11232194651583,-0.446781598218228,-0.266643060517661,-0.0537064262067468,0.0394480979801895,"Kyrgyzstan"
-0.612035555089779,1.41742203648436,-0.513061123567538,2.31549393381469,-0.221136661701729,"Lao People's Democratic Republic"
4.15576583549202,1.89273250118889,-2.23528177349611,-0.721320046216699,0.637966738991095,"Latvia"
-0.148592035286894,-1.46901441390951,1.25063004009895,-0.254017174235839,-0.285466422027314,"Lebanon"
-3.80343795661722,-0.395543303742363,-0.531941739201429,-0.08269042868123,0.806459718975402,"Lesotho"
-3.64025361626614,-0.256169453091004,-1.56912349641556,-0.948382820709897,0.329561887249587,"Liberia"
3.59464166578335,3.04559281064963,-0.854627068139318,-0.672223657062991,-1.1693547647725,"Lithuania"
5.60857421620944,-2.1898247571097,-2.37255805202432,-0.443853402524498,1.66473987481264,"Luxembourg"
-3.56420580646862,-0.00975093790567405,-1.19638191666785,-0.599209274515827,0.492145515466694,"Madagascar"
-3.21071448155835,0.43801847723897,-1.78006598830106,-0.713806183229451,-0.427546874724813,"Malawi"
0.945738343269219,0.164176815367546,1.04523516006443,0.922661935952198,-1.10162652011936,"Malaysia"
-2.90513974767051,1.28243444959008,-2.19297227137251,-0.695193207947154,-0.471646077830157,"Mali"
-2.77508114301903,0.228243008022401,-0.0731173737963993,0.158562552482318,1.53400750335018,"Mauritania"
0.378608438191167,0.23288405721169,0.795540570194371,-0.00365420522985413,-2.58189660252265,"Mexico"
-1.22031339433474,0.672606106620203,2.35817715236303,1.81260419271096,3.92365921749119,"Mongolia"
0.422894834538828,-1.24721449093776,1.73457089058299,-1.35903087399399,-1.41087290265092,"Montenegro"
-0.948712891470216,0.00723516971154139,-0.103889947651599,0.26400749197719,-0.133419955939921,"Morocco"
-3.92578877633731,0.0228975434856291,-1.5124464089502,-0.701429567595291,0.185883107307296,"Mozambique"
-0.777795261062937,1.53932754538312,-1.35535787112095,1.29381075069182,-1.13207084602883,"Myanmar"
-2.28579295617509,-0.413689910031213,0.923936170792792,-1.15275926794609,0.424016726664516,"Namibia"
-1.56815005017798,0.0440503630763151,-0.707047922414103,1.40189953223855,-0.394530314471292,"Nepal"
3.80075064109275,-1.7109835651025,-1.15850004294163,-0.165460816960066,0.639530924374527,"Netherlands"
-1.43754340789035,-0.591777993047007,1.39605323427027,-0.13236117615186,0.058195120523358,"Nicaragua"
-2.85245341400357,1.27369012540447,-2.12078328343917,-1.03645233692941,-0.902306413479099,"Niger"
-3.28533934314197,0.656928621387142,-1.02124213442328,0.667724030996352,-0.283489636605614,"Nigeria"
3.86539019003312,-2.24443162283844,0.705716342532608,-1.53660549687207,-0.121152601919201,"Norway"
1.6252234061995,-1.44968499900402,-0.647197664057572,0.816284780531516,0.987058236593781,"Oman"
-2.60562724211505,-0.45421589120132,0.553929913469856,2.65314867276789,-0.137142687230698,"Pakistan"
-0.254993989108898,-1.69068207778991,2.43646360683086,-1.34349667605056,-0.689047135459442,"Panama"
